id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C
80,OC-7,20742.3542,297,250,1200,650,550,7.15E-02,4.58E-04,4.85E-03,0.14883511,4.32E-03,0.48318127,1.99E-02,1.13E-02,1.40E-02,0.23468732,2.15E-03,5.74E-04,5.39E-04,2.90E-03,1.29E-11,7.83E-04,2.887
81,OC-7,22549.55475,110.3,100,1200,750,450,7.15E-02,4.58E-04,4.85E-03,0.14883511,4.32E-03,0.48318127,1.99E-02,1.13E-02,1.40E-02,0.23468732,2.15E-03,5.74E-04,5.39E-04,2.90E-03,3.89E-12,7.83E-04,2.887
82,OC-10,20697.41156,265.5,250,1100,650,450,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.45E-12,7.68E-12,1.172
83,OC-10,22641.30166,135.6,100,1100,750,350,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.12E-12,5.29E-12,1.172
84,OC-10,20950.3468,499,250,1200,650,550,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.46E-12,8.54E-12,1.172
85,OC-J,20896.70546,436.5,250,1200,650,550,5.00E-02,5.00E-04,8.99E-03,0.14540122,2.55E-02,0.5805649,6.88E-02,1.48E-12,5.81E-03,0.11041475,2.88E-03,5.64E-04,5.30E-04,1.54E-12,1.11E-12,1.31E-11,0.646
86,OC-J,22947.7785,270.3,100,1200,750,450,5.00E-02,5.00E-04,8.99E-03,0.14540122,2.55E-02,0.5805649,6.88E-02,1.38E-12,5.81E-03,0.11041475,2.88E-03,5.64E-04,5.30E-04,1.48E-12,1.11E-12,1.26E-11,0.646
87,Wrought CAFA4,23683.47495,1415.8,100,1200,750,450,7.00E-02,4.00E-04,1.31E-02,0.14684447,4.34E-03,0.48342776,1.89E-02,1.12E-02,5.48E-03,0.23308455,9.25E-03,5.65E-04,5.31E-04,2.94E-03,2.41E-12,9.62E-12,0.418
88,Wrought CAFA4,21736.67665,17.7,170,1200,750,450,7.00E-02,4.00E-04,1.31E-02,0.14684447,4.34E-03,0.48342776,1.89E-02,1.12E-02,5.48E-03,0.23308455,9.25E-03,5.65E-04,5.31E-04,2.94E-03,2.41E-12,9.62E-12,0.418
89,Wrought CAFA4,21238.68286,5.77,170,1250,750,500,7.00E-02,4.00E-04,1.31E-02,0.14684447,4.34E-03,0.48342776,1.89E-02,1.12E-02,5.48E-03,0.23308455,9.25E-03,5.65E-04,5.31E-04,2.94E-03,2.41E-12,9.60E-12,0.418
90,DAFA 1,22838.16187,211.2,130,1200,750,450,7.00E-02,2.50E-04,7.97E-03,0.14398669,4.17E-03,0.48177544,1.89E-02,1.12E-02,5.30E-03,0.23420531,1.85E-02,3.39E-04,5.31E-04,2.94E-03,2.49E-12,1.04E-11,0.665
91,DAFA 2,22842.76589,213.4,130,1200,750,450,7.00E-02,2.50E-04,1.14E-02,0.14546658,4.16E-03,0.47892632,1.89E-02,1.13E-02,5.40E-03,0.23401733,1.65E-02,3.38E-04,5.30E-04,2.85E-03,2.42E-12,1.06E-11,0.474
92,DAFA 3,23528.64443,999.2,100,1200,750,450,6.86E-02,2.99E-04,1.53E-02,0.1438187,4.06E-03,0.47715173,1.86E-02,1.11E-02,5.27E-03,0.23402227,1.82E-02,2.25E-04,5.28E-04,2.81E-03,2.31E-12,9.32E-12,0.344
93,DAFA 3,23130.26956,407.6,130,1200,750,450,6.86E-02,2.99E-04,1.53E-02,0.1438187,4.06E-03,0.47715173,1.86E-02,1.11E-02,5.27E-03,0.23402227,1.82E-02,2.25E-04,5.28E-04,2.81E-03,2.31E-12,9.32E-12,0.344
94,DAFA 4,22739.04922,168.97,130,1200,750,450,6.96E-02,3.96E-04,2.01E-02,0.14320569,4.04E-03,0.4723609,1.90E-02,1.11E-02,5.07E-03,0.23267485,1.87E-02,3.35E-04,5.25E-04,2.82E-03,2.22E-12,9.53E-12,0.252
95,DAFA 12,22370.41924,73.7,100,1200,750,450,7.93E-02,1.90E-12,1.81E-04,0.14681081,1.23E-12,0.45340793,1.50E-12,1.18E-12,1.86E-02,0.29900343,2.71E-03,3.05E-12,1.49E-12,1.13E-12,2.04E-12,3.17E-12,102.762
96,DAFA 12,21948.30629,28.5,170,1200,750,450,7.93E-02,1.90E-12,1.81E-04,0.14681081,1.23E-12,0.45340793,1.50E-12,1.18E-12,1.86E-02,0.29900343,2.71E-03,3.05E-12,1.49E-12,1.13E-12,2.04E-12,3.17E-12,102.762
97,DAFA 13,22788.35004,188.8,100,1200,750,450,7.97E-02,1.60E-12,1.81E-04,0.14647266,1.14E-12,0.44465391,1.41E-12,1.12E-12,1.68E-02,0.29837958,2.71E-03,1.11E-02,1.42E-12,1.10E-12,1.90E-12,2.51E-12,92.818
98,DAFA 13,22259.36687,57.4,170,1200,750,450,7.97E-02,1.60E-12,1.81E-04,0.14647266,1.14E-12,0.44465391,1.41E-12,1.12E-12,1.68E-02,0.29837958,2.71E-03,1.11E-02,1.42E-12,1.10E-12,1.90E-12,2.51E-12,92.818
99,DAFA 15,23419.12512,780.9,100,1150,750,400,7.99E-02,1.59E-12,4.60E-03,0.14608308,1.22E-12,0.44009765,1.41E-12,1.14E-12,1.67E-02,0.29730922,2.70E-03,1.10E-02,1.37E-12,1.10E-12,1.89E-12,1.72E-03,3.63
100,DAFA 15,22440.02393,86.2,170,1150,750,400,7.99E-02,1.59E-12,4.60E-03,0.14608308,1.22E-12,0.44009765,1.41E-12,1.14E-12,1.67E-02,0.29730922,2.70E-03,1.10E-02,1.37E-12,1.10E-12,1.89E-12,1.72E-03,3.63
101,DAFA 14-01,23447.81984,833,100,1100,750,350,7.92E-02,1.61E-12,1.81E-04,0.14656518,1.14E-12,0.44427882,1.41E-12,1.13E-12,1.64E-02,0.29850315,2.32E-03,1.09E-02,1.43E-12,2.96E-05,1.91E-12,1.61E-03,90.608
102,DAFA 14-01,22867.07185,225.4,170,1100,750,350,7.92E-02,1.61E-12,1.81E-04,0.14656518,1.14E-12,0.44427882,1.41E-12,1.13E-12,1.64E-02,0.29850315,2.32E-03,1.09E-02,1.43E-12,2.96E-05,1.91E-12,1.61E-03,90.608
103,DAFA 14-02,23387.9604,728,100,1100,750,350,7.92E-02,1.63E-12,2.26E-04,0.14619908,1.15E-12,0.44218792,1.42E-12,1.13E-12,1.71E-02,0.29972128,2.52E-03,1.11E-02,1.44E-12,1.11E-12,1.91E-12,1.73E-03,75.664
104,DAFA 14-02,22541.01449,108.2,170,1100,750,350,7.92E-02,1.63E-12,2.26E-04,0.14619908,1.15E-12,0.44218792,1.42E-12,1.13E-12,1.71E-02,0.29972128,2.52E-03,1.11E-02,1.44E-12,1.11E-12,1.91E-12,1.73E-03,75.664
105,DAFA25,22666.76899,143.6,170,1100,750,350,7.87E-02,5.02E-05,2.26E-04,0.14592011,1.47E-12,0.43114738,2.18E-12,1.31E-12,1.72E-02,0.3002889,2.51E-03,2.21E-02,2.26E-12,1.32E-12,2.69E-12,1.79E-03,76.106
106,DAFA26,22216.77622,681.2,170,1100,700,400,6.00E-02,2.17E-12,9.14E-05,0.1477169,1.45E-12,0.44449985,2.18E-12,1.46E-12,1.73E-02,0.30352206,2.54E-03,2.26E-02,2.42E-12,2.98E-05,2.79E-12,1.74E-03,189.278
107,DAFA26,23507.09893,951.9,100,1100,750,350,6.00E-02,1.72E-12,9.14E-05,0.1477169,1.31E-12,0.44449985,1.73E-12,1.31E-12,1.73E-02,0.30352206,2.54E-03,2.26E-02,1.89E-12,2.98E-05,2.13E-12,1.74E-03,189.278
108,DAFA26,22914.51207,250.8,170,1100,750,350,6.00E-02,1.72E-12,9.14E-05,0.1477169,1.31E-12,0.44449985,1.73E-12,1.31E-12,1.73E-02,0.30352206,2.54E-03,2.26E-02,1.89E-12,2.98E-05,2.13E-12,1.74E-03,189.278
109,DAFA27,23531.8785,1006.5,100,1100,750,350,6.05E-02,3.02E-12,1.82E-04,0.14763845,2.32E-12,0.43380602,3.68E-12,2.37E-12,1.74E-02,0.30283483,2.73E-03,3.29E-02,2.15E-04,2.57E-12,3.86E-12,1.74E-03,95.604
110,DAFA27,23064.86064,351.8,170,1100,750,350,6.05E-02,3.02E-12,1.82E-04,0.14763845,2.32E-12,0.43380602,3.68E-12,2.37E-12,1.74E-02,0.30283483,2.73E-03,3.29E-02,2.15E-04,2.57E-12,3.86E-12,1.74E-03,95.604
111,DAFA29,23218.43389,7290,170,1100,700,400,6.02E-02,2.53E-04,2.96E-03,0.14714936,1.79E-12,0.44440121,2.75E-12,1.46E-12,1.65E-02,0.30247883,2.73E-03,2.15E-02,1.07E-04,2.97E-05,3.09E-12,1.74E-03,5.574
112,DAFA29,24018.30776,3008.2,100,1100,750,350,6.02E-02,2.53E-04,2.96E-03,0.14714936,1.47E-12,0.44440121,1.98E-12,1.29E-12,1.65E-02,0.30247883,2.73E-03,2.15E-02,1.07E-04,2.97E-05,2.20E-12,1.74E-03,5.574
113,OC-5,21338.46352,1314,250,1204,650,554,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,1.02E-11,1.19E-11,1.281
114,OC-5,22170.8181,611,170,1204,700,504,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,4.17E-12,6.04E-12,1.281
115,OC-5,23732.5073,1581,100,1204,750,454,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,2.61E-12,4.53E-12,1.281
116,OC-6,21270.1102,1108,250,1204,650,554,7.06E-02,4.01E-04,4.29E-03,0.14655111,4.27E-03,0.50370237,1.95E-02,9.61E-04,1.37E-02,0.23176408,2.70E-03,5.66E-04,5.32E-04,4.42E-04,3.06E-12,9.25E-12,3.193
117,OC-6,21974.55428,384,170,1204,700,504,7.06E-02,4.01E-04,4.29E-03,0.14655111,4.27E-03,0.50370237,1.95E-02,9.61E-04,1.37E-02,0.23176408,2.70E-03,5.66E-04,5.32E-04,4.42E-04,2.80E-12,7.48E-12,3.193
118,OC-6,23035.0914,329,100,1204,750,454,7.06E-02,4.01E-04,4.29E-03,0.14655111,4.27E-03,0.50370237,1.95E-02,9.61E-04,1.37E-02,0.23176408,2.70E-03,5.66E-04,5.32E-04,4.42E-04,2.00E-12,4.75E-12,3.193
119,OC-8,22018.1407,7161,250,1204,650,554,6.04E-02,1.01E-04,4.33E-03,0.19919959,1.21E-03,0.40877416,1.39E-03,8.55E-04,1.91E-02,0.30037873,2.73E-03,5.71E-04,5.37E-04,4.17E-04,2.55E-12,7.15E-12,4.411
120,OC-8,22768.38729,2513,170,1204,700,504,6.04E-02,1.01E-04,4.33E-03,0.19919959,1.21E-03,0.40877416,1.39E-03,8.55E-04,1.91E-02,0.30037873,2.73E-03,5.71E-04,5.37E-04,4.17E-04,2.12E-12,6.00E-12,4.411
121,OC-8,23465.59354,867,100,1204,750,454,6.04E-02,1.01E-04,4.33E-03,0.19919959,1.21E-03,0.40877416,1.39E-03,8.55E-04,1.91E-02,0.30037873,2.73E-03,5.71E-04,5.37E-04,4.17E-04,1.65E-12,4.11E-12,4.411
