id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C
156,OC-O,22275.63019,783,170,1204,700,504,5.99E-02,4.02E-04,6.66E-03,0.14539398,4.45E-03,0.55778497,1.96E-02,1.12E-02,5.85E-03,0.18533927,2.32E-03,5.68E-04,5.34E-04,2.18E-12,2.92E-12,1.06E-11,0.878
157,OC-O,23170.26956,446,100,1204,750,454,5.99E-02,4.02E-04,6.66E-03,0.14539398,4.45E-03,0.55778497,1.96E-02,1.12E-02,5.85E-03,0.18533927,2.32E-03,5.68E-04,5.34E-04,1.10E-12,1.13E-12,8.07E-12,0.878
158,OC-P,21154.79174,831,250,1204,650,554,6.15E-02,4.01E-04,6.86E-03,0.1447,4.44E-03,0.55977149,1.96E-02,1.13E-02,3.50E-03,0.18448388,2.32E-03,5.66E-04,5.32E-04,2.88E-12,3.67E-12,9.44E-12,0.51
159,OC-P,22318.69258,867,170,1204,700,504,6.15E-02,4.01E-04,6.86E-03,0.1447,4.44E-03,0.55977149,1.96E-02,1.13E-02,3.50E-03,0.18448388,2.32E-03,5.66E-04,5.32E-04,2.13E-12,2.83E-12,9.04E-12,0.51
160,OC-P,23703.47782,1481,100,1204,750,454,6.15E-02,4.01E-04,6.86E-03,0.1447,4.44E-03,0.55977149,1.96E-02,1.13E-02,3.50E-03,0.18448388,2.32E-03,5.66E-04,5.32E-04,1.11E-12,1.07E-12,5.12E-12,0.51
161,OC-Q,20845.33772,384,250,1204,650,554,5.04E-02,4.99E-04,9.03E-03,0.14439095,2.60E-02,0.60296341,4.88E-02,6.19E-04,3.43E-03,0.1106329,2.11E-03,5.64E-04,5.30E-04,2.25E-12,1.31E-12,1.88E-11,0.38
162,OC-Q,21845.5882,283,170,1204,700,504,5.04E-02,4.99E-04,9.03E-03,0.14439095,2.60E-02,0.60296341,4.88E-02,6.19E-04,3.43E-03,0.1106329,2.11E-03,5.64E-04,5.30E-04,1.87E-12,1.10E-12,1.12E-11,0.38
163,OC-Q,23037.78404,331,100,1204,750,454,5.04E-02,4.99E-04,9.03E-03,0.14439095,2.60E-02,0.60296341,4.88E-02,6.19E-04,3.43E-03,0.1106329,2.11E-03,5.64E-04,5.30E-04,1.80E-12,1.08E-12,1.07E-11,0.38
164,OC-R,20779.69984,326,250,1204,650,554,5.00E-02,4.49E-04,9.43E-03,0.16421755,2.58E-02,0.57478573,3.93E-02,5.62E-04,3.43E-03,0.12848477,2.50E-03,5.63E-04,5.29E-04,2.29E-12,1.39E-12,1.66E-11,0.364
165,OC-R,21838.05559,278,170,1204,700,504,5.00E-02,4.49E-04,9.43E-03,0.16421755,2.58E-02,0.57478573,3.93E-02,5.62E-04,3.43E-03,0.12848477,2.50E-03,5.63E-04,5.29E-04,1.87E-12,1.13E-12,9.97E-12,0.364
166,OC-R,23096.77411,378,100,1204,750,454,5.00E-02,4.49E-04,9.43E-03,0.16421755,2.58E-02,0.57478573,3.93E-02,5.62E-04,3.43E-03,0.12848477,2.50E-03,5.63E-04,5.29E-04,1.81E-12,1.09E-12,9.50E-12,0.364
