Column,Linear regression (p),,sqrt(correlation_coefficient^2),,
T2_M2B_CB_X_MO,-0.50630987,454,0.506309876,15,10
T2_SIGMA_X_CR,-0.5064377,455,0.50643767,14,9
T2_M2B_CB_X_B,-0.50930923,456,0.50930926,12,8
T2_M2B_CB_CX_MO,-0.5107333,457,0.510733383,11,7
T2_M2B_CB_X_CR,-0.5118654,458,0.511865386,10,6
T2_SIGMA_X_FE,-0.5230982,459,0.523098196,8,5
T2_SIGMA_X_W,-0.5448435,460,0.544843493,7,4
T2_SIGMA_X_V,-0.5659584,461,0.565958418,6,3
dT,-0.6820539,462,0.68205396,4,2
Stress,-0.89783466,463,0.897834685,1,1
